pais;pais_iso3;casos;total_deaths;popData2019;casos1000;deaths_100k;prev04_pob100K;prevtx_pob100K
Guam;GUM;7106;118;45336945;15,67375129;0,260273382;0,004411413;0,165427997
Guatemala;GTM;129282;4423;4834905900;2,673930014;0,091480581;0,020083121;0
Guernsey;GGY;289;13;17406360;1,660312667;0,074685345;0;0
Guinea;GIN;13420;79;3512092650;0,382108371;0,002249371;0,202500353;0,227499693
Guinea_Bissau;GNB;2444;44;505201171;0,483767683;0,008709402;0,072050506;0,085708432
Guyana;GUY;5920;155;215263125;2,75012267;0,072004901;0,001393643;0,231344779
Haiti;HTI;9565;234;3041031330;0,314531452;0,007694758;0,057809335;0,544256149
Holy_See;VAT;26;0;224125;11,60066927;0;0;0
Honduras;HND;114359;2975;2689927740;4,251378143;0,110597766;0,028997061;0,186882344
Hungary;HUN;283870;7130;2775462704;10,22784416;0,256894102;0;0
Iceland;ISL;5557;28;124946850;4,447491073;0,022409529;0;0
India;IND;9884100;143355;4,7688E+11;2,072660672;0,030061034;0,023028025;0,82377866
Indonesia;IDN;617820;18819;92824569481;0,665578094;0,020273727;0,008231657;0,085572172
Iran;IRN;1108269;52196;29019862550;3,819001548;0,179863016;0,007808445;0,073184358
Iraq;IRQ;574634;12579;13679806572;4,20060033;0,091953055;0,01796809;0,05532973
Ireland;IRL;76185;2124;1706675520;4,463941687;0,124452479;0;0
Isle_of_Man;IMN;370;25;22754441;1,626056206;0,109868663;0;0
Israel;ISR;357859;2999;2956222431;12,10527991;0,101447035;0;0
Italy;ITA;1843712;64520;21125841100;8,727283289;0,305407958;0;0
Jamaica;JAM;11710;273;816672729;1,433866907;0,033428323;0;0,00697954
Japan;JPN;179653;2585;44401104650;0,404613807;0,005821927;0;0
Jersey;JEY;1779;32;29104920;6,11236863;0,109947047;0;0
Jordan;JOR;259614;3365;2798170069;9,277992173;0,120257165;0,000786228;0,009792114
Kazakhstan;KAZ;186277;2552;5101642700;3,651314115;0,050023103;0,010349608;0,633697848
Kenya;KEN;91892;1587;14510414892;0,633283064;0,010936972;0,053154924;0,059929368
Kosovo;XKX;46580;1198;496387656;9,383794991;0,241343632;0;0
Kuwait;KWT;146218;911;1459855719;10,01592131;0,062403427;0,004041495;0,108572373
Kyrgyzstan;KGZ;77674;1312;1738695621;4,467371923;0,075458866;0,015126282;0,568702186
Laos;LAO;41;0;1899905840;0,002158002;0;0;0
Latvia;LVA;25675;349;543350944;4,725306965;0,064231047;0;0
Lebanon;LBN;146520;1200;2372075314;6,176869644;0,050588613;0,005564747;0,060706336
Lesotho;LSO;2250;44;454807138;0,494715191;0,00967443;0,262308988;2,928054309
Liberia;LBR;1676;83;1347903102;0,124341282;0,006157713;0;0
Libya;LBY;90779;1299;1796025045;5,054439539;0,072326386;0,000445428;0
Liechtenstein;LIE;1514;18;10707462;14,13967194;0,168107064;0;0
Lithuania;LTU;95021;825;952816744;9,972641707;0,08658538;0;0
Luxembourg;LUX;41272;396;210565642;19,60053863;0,18806487;0;0
Madagascar;MDG;17638;258;7254743314;0,243123695;0,003556294;0,081105557;0,100940856
Malawi;MWI;6066;187;4768959744;0,127197551;0,003921191;0,053491749;0,441039579
Malaysia;MYS;83475;415;11150476361;0,748622725;0,003721814;0,016600188;0,24305688
Maldives;MDV;13368;48;148667960;8,991850026;0,032286715;0,004708479;0,203809886
Mali;MLI;5814;194;5189718072;0,112029207;0,003738161;0,002678373;0,006763373
Malta;MLT;11101;166;139677197;7,947610804;0,118845455;0;0
Marshall_Islands;MHL;4;0;2763177;0,144760904;0;0,687614293;16,8646453
Mauritania;MRT;10780;222;1244566950;0,866164733;0,01783753;0;0
Mauritius;MUS;515;10;342810900;0,150228595;0,00291706;0;0
Mexico;MEX;1250044;113953;44651435150;2,799560632;0,255205683;0,003213782;0,076470106
Moldova;MDA;126518;2572;1132112240;11,1753937;0,227185955;0;0
Monaco;MCO;668;2;11182730;5,973496633;0,01788472;0;0
Mongolia;MNG;912;0;883695484;0,103202972;0;0,009505537;0,527783618
Montenegro;MNE;41426;582;169233504;24,47860443;0,343903533;0;0
Montserrat;MSF;13;1;1337588;0,971898671;0,074761436;0;0
Morocco;MAR;399609;6624;10212094480;3,913095406;0,064864265;0,003809209;0,190999016
Mozambique;MOZ;16954;142;8107733481;0,209108995;0,001751414;0,379464866;0
Myanmar;MMR;108342;2268;14430127674;0,750804168;0,015717117;0,008496113;0
Namibia;NAM;16536;160;685994100;2,410516359;0,023323816;0,225512144;2,852502667
Nepal;NPL;248423;1698;9641136955;2,576698175;0,017612031;0,024862213;0,41719146
Netherlands;NLD;612746;10034;6048757050;10,13011425;0,16588532;0,000247985;0
New_Caledonia;NCL;36;0;76061633;0,047330038;0;0;0
New_Zealand;NZL;1740;25;1631024142;0,106681437;0,001532779;0;0,001287535
Nicaragua;NIC;5887;162;1773831313;0,331880487;0,009132774;0,044649116;0,077910452
Niger;NER;2258;80;6270583411;0,036009409;0,001275798;0,107581696;0,115332171
Nigeria;NGA;73175;1197;68126661417;0,107410225;0,001757021;0,01434387;0,02639642
North_Macedonia;MKD;73638;2121;708302012;10,39641265;0,299448535;0,006212039;0,021883321
Northern_Mariana_Islands;MNP;113;2;14818167;0,76257745;0,013496946;0;1,342946128
Norway;NOR;40022;387;1864874200;2,146096503;0,02075207;0,000268115;0
Oman;OMN;126240;1471;1711397248;7,37642883;0,085953159;0,006310633;0,110377646
Pakistan;PAK;440787;8832;74715034365;0,589957568;0,011820914;0,007614264;0,26999653
Palestine;PSE;124657;1079;1399779582;8,905473519;0,077083565;0;0
Panama;PAN;193007;3356;1189003200;16,23267288;0,282253235;0;0
Papua_New_Guinea;PNG;725;8;2360776011;0,030710241;0,000338872;0,052906332;0,20633046
Paraguay;PRY;93582;1953;1958409642;4,778469121;0,099723774;0,010518739;0,119127273
Peru;PER;984973;36677;9167950284;10,74365556;0,400056707;0,030792052;0,465752962
Philippines;PHL;449400;8733;37408351212;1,201336026;0,023345055;0,005119178;0
Poland;POL;1135676;22864;10784278608;10,53084811;0,212012327;0;0
Portugal;PRT;348744;5559;2949389079;11,82427922;0,188479711;0,002441184;0,10541166
Puerto_Rico;PRI;107158;1272;768551848;13,94284592;0,165506075;0,00026023;0,012751254
Qatar;QAT;140961;240;979896566;14,3852938;0,024492381;0;0,632923945
Romania;ROU;556335;13385;6756231384;8,234398267;0,198113404;0,05312133;0,122775546
Russia;RUS;2653928;46941;51055291000;5,19814489;0,091941499;0,01604535;0
Rwanda;RWA;6659;56;3472407950;0,191768942;0,001612714;0,038186757;0,354624231
Saint_Kitts_and_Nevis;KNA;27;0;13948176;0,193573697;0;0;0
Saint_Lucia;LCA;275;4;50268625;0,547060915;0,00795725;0;0,023871749
Saint_Vincent_and_the_Grenadines;VCT;98;0;29417738;0,333132343;0;0;0
San_Marino;SMR;1947;51;12024097;16,19248414;0,424148275;0;0
Sao_Tome_and_Principe;STP;1009;17;53762000;1,876790298;0,031620847;0;0,018600498
Saudi_Arabia;SAU;359888;6048;9732262236;3,697886383;0,062143825;0,000852834;0,084317498
Senegal;SEN;17075;349;4562981360;0,374207095;0,007648508;0;0
Serbia;SRB;266432;2331;1949853920;13,66420311;0,119547417;0;0
Seychelles;SYC;187;0;26878775;0,69571623;0;0;0,145095898
Sierra_Leone;SLE;2440;75;2015807406;0,12104331;0,003720594;0;0
Singapore;SGP;58320;29;2031520050;2,870756801;0,001427503;0,003642593;0,106225878
Sint_Maarten;SXM;1232;26;11190696;11,00914545;0,232335862;0;0,035743979
Slovakia;SVK;132984;1175;1537018722;8,652074181;0,076446694;0;0,001691586
Slovenia;SVN;96314;1459;590977872;16,29739531;0,246878956;0,001184478;0,004061066
Solomon_Islands;SLB;17;0;40189260;0,042299858;0;0,014929362;0
Somalia;SOM;4579;121;4215913338;0,10861229;0,002870078;0;0
South_Africa;ZAF;860964;23276;16513431294;5,213719576;0,140951929;0,137397247;0
South_Korea;KOR;43484;587;17928862350;0,242536303;0,00327405;0;0
South_Sudan;SSD;3206;62;2798714842;0,114552578;0,002215303;0;0
Spain;ESP;1730575;47624;16381033940;10,56450409;0,290726459;0;0
Sri_Lanka;LKA;32790;152;7271393294;0,450945213;0,002090383;0,008829119;0,161385852
Sudan;SDN;21386;1347;11816453412;0,180984931;0,011399359;0,019193576;0
