Pais;casos;casos1000;total_deaths;deaths_100k;popData2019;prev04_pob100K;prevtx_pob100K;newinc_con;newinc_con_screen;newinc_con_prevtx;newinc_con04_prevtx
Turkey;995471;4,398302736;16199;0,071572257;22633071432;0,00476736;0,094587251;26406;21408;8878;1079
China;92021;0,018337295;4739;0,000944354;5,01824E+11;0;0,086789541;555211;435531;;
Guinea_Bissau;2444;0,483767683;44;0,008709402;505201171;0,072050506;0,085708432;433;433;364;364
Indonesia;617820;0,665578094;18819;0,020273727;92824569481;0,008231657;0,085572172;2694493;79432;7641;7641
Benin;3090;0,095911673;44;0,001365733;3221714223;0,075860236;0,084954773;2737;2737;2444;2444
Saudi_Arabia;359888;3,697886383;6048;0,062143825;9732262236;0,000852834;0,084317498;8244;8206;1153;83
Nicaragua;5887;0,331880487;162;0,009132774;1773831313;0,044649116;0,077910452;1477;1382;792;792
Mexico;1250044;2,799560632;113953;0,255205683;44651435150;0,003213782;0,076470106;42339;34145;2294;1435
Iran;1108269;3,819001548;52196;0,179863016;29019862550;0,007808445;0,073184358;22724;21238;2655;2266
Lebanon;146520;6,176869644;1200;0,050588613;2372075314;0,005564747;0,060706336;1657;1440;437;132
Kenya;91892;0,633283064;1587;0,010936972;14510414892;0,053154924;0,059929368;8696;8696;8326;7713
Vietnam;1397;0,004185656;35;0,000104866;33375889368;0,00970461;0,055764806;;18612;7087;3239
Iraq;574634;4,20060033;12579;0,091953055;13679806572;0,01796809;0,05532973;13036;7569;2711;2458
Syria;9166;0,201109095;518;0,011365319;4557725244;0,005397429;0,048335516;2203;2203;555;246
Ghana;53014;0,631470205;327;0,003895023;8395328808;0,000214405;0,037937764;34094;3185;18;18
Sint_Maarten;1232;11,00914545;26;0,232335862;11190696;0;0,035743979;6;4;;
Andorra;7338;34,90155365;79;0,375745808;21024852;0;0,033293932;7;7;0;0
Nigeria;73175;0,107410225;1197;0,001757021;68126661417;0,01434387;0,02639642;20370;17983;10788;9772
Colombia;1425774;10,15168379;39053;0,278062096;14044704597;0,00295485;0,025454434;21130;3575;2346;415
Saint_Lucia;275;0,547060915;4;0,00795725;50268625;0;0,023871749;12;12;2;0
Egypt;121575;0,35001451;6920;0,019922685;34734274296;0,001235091;0,022139515;9044;7690;445;429
North_Macedonia;73638;10,39641265;2121;0,299448535;708302012;0,006212039;0,021883321;189;155;64;44
Dominican_Republic;154692;4,224267112;2361;0,064473241;3661984337;0,001966147;0,020781083;1488;761;;72
Sao_Tome_and_Principe;1009;1,876790298;17;0,031620847;53762000;0;0,018600498;203;10;0;0
United_Arab_Emirates;184949;5,502697008;617;0,018357299;3361060944;0,000386783;0,016661406;562;560;24;13
Dominica;87;0,453769352;0;0;19172736;0;0,015647219;10;3;3;0
Puerto_Rico;107158;13,94284592;1272;0,165506075;768551848;0,00026023;0,012751254;174;98;19;2
Aruba;5049;17,78770799;46;0,162058738;28384770;0;0,010569048;3;3;;
Jordan;259614;9,277992173;3365;0,120257165;2798170069;0,000786228;0,009792114;274;274;303;22
Eritrea;711;0,075862062;0;0;937227356;0,017178329;0,009602793;1695;90;161;161
Jamaica;11710;1,433866907;273;0,033428323;816672729;0;0,00697954;57;57;;
Mali;5814;0,112029207;194;0,003738161;5189718072;0,002678373;0,006763373;;351;329;139
Costa_Rica;150947;10,60458803;1895;0,133130796;1423412202;0,00793867;0,00547979;1554;78;529;113
Australia;28031;0,317771439;908;0,010293477;8821120000;0,000260738;0,00539614;555;476;70;23
Togo;3251;0,145736975;66;0,002958671;2230731084;0,000179313;0,00461732;103;103;6;4
Slovenia;96314;16,29739531;1459;0,246878956;590977872;0,001184478;0,004061066;224;24;24;7
Antigua_and_Barbuda;148;0,564432012;4;0,015254919;26221050;0;0,00381373;1;1;0;0
Albania;48530;6,033503259;1003;0,124698203;804341987;0,001491903;0,003356781;61;27;54;12
Slovakia;132984;8,652074181;1175;0,076446694;1537018722;0;0,001691586;1058;26;;
New_Zealand;1740;0,106681437;25;0,001532779;1631024142;0;0,001287535;;21;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
